source_league_id,dest_league_id,source_league,dest_league,source_country_id,dest_country_id,source_tier,dest_tier,n_transfers,n_loans,fee_sum,fee_median,domestic_share
19LB,OBLN,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Oberliga Niedersachsen,40.0,40.0,Youth,5,1,0,0.0,,1.0
19LB,OLB2,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Bayernliga Süd,40.0,40.0,Youth,5,1,0,0.0,,1.0
19LB,OLMR,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Mittelrheinliga,40.0,40.0,Youth,5,2,0,0.0,,1.0
19LB,OLNI,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Oberliga Niederrhein,40.0,40.0,Youth,5,2,0,0.0,,1.0
19LB,OLW3,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Oberliga Westfalen,40.0,40.0,Youth,5,1,0,0.0,,1.0
19LB,RLN4,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Regionalliga Nordost,40.0,40.0,Youth,4,1,0,0.0,,1.0
19LB,RLSW,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Regionalliga Südwest,40.0,40.0,Youth,4,1,0,0.0,,1.0
19LB,RLW3,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Regionalliga West,40.0,40.0,Youth,4,5,0,0.0,,1.0
19LB,VLBW,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Verbandsliga Württemberg,40.0,40.0,Youth,6,1,0,0.0,,1.0
19LB,VLHM,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Verbandsliga Hessen-Mitte,40.0,40.0,Youth,6,1,0,0.0,,1.0
19LB,VLHS,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Verbandsliga Hessen-Süd,40.0,40.0,Youth,6,1,0,0.0,,1.0
19LB,VLW1,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Westfalenliga 1,40.0,40.0,Youth,6,1,0,0.0,,1.0
19LB,WITHOUT_CLUB,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,WITHOUT_CLUB,40.0,,Youth,,2,0,0.0,,0.0
1LG4,1LG4,1. Liga Gruppe 4 (bis 99/00),1. Liga Gruppe 4 (bis 99/00),148.0,148.0,3,3,1,0,0.0,,1.0
1LG4,C1,1. Liga Gruppe 4 (bis 99/00),Super League,148.0,148.0,3,1,1,0,0.0,,1.0
211F,181F,U21 Divisie 1 Herbst,U18 Divisie 1 Herbst,122.0,122.0,Youth,Youth,1,0,0.0,,1.0
211F,19LA,U21 Divisie 1 Herbst,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,122.0,40.0,Youth,Youth,1,1,0.0,,0.0
211F,211F,U21 Divisie 1 Herbst,U21 Divisie 1 Herbst,122.0,122.0,Youth,Youth,15,0,0.0,,1.0
211F,212F,U21 Divisie 1 Herbst,U21 Divisie 2 Herbst,122.0,122.0,Youth,Youth,7,0,0.0,,1.0
211F,212S,U21 Divisie 1 Herbst,U21 Divisie 2 Frühling,122.0,122.0,Youth,Youth,1,0,0.0,,1.0
211F,510,U21 Divisie 1 Herbst,Derde Divisie A,122.0,122.0,Youth,4,8,0,0.0,,1.0
