competition_id,league_name,country_id,tier,source_url,canonical_competition_id,prior_league_names
BE3V,1ste Nationale VV,19.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BE3V,,

BE5A,3de Nationale VV A,19.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BE5A,,

BE5B,3de Nationale VV B,19.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BE5B,,

BEL3,1ste Nationale,19.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BEL3,,

BEY1,U18 Elite 1 - Belgien,19.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BEY1,,

BGD1,Bangladesh Football League,16.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BGD1,,

BH1L,Bhutan Premier League,22.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BH1L,,

BH2S,Prva Liga RS,24.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BH2S,,

BI17,Premijer Liga BiH U17,24.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BI17,,

BI19,Premijer Liga BiH U19,24.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BI19,,

BJ1,B-Junioren Bundesliga Nord/Nordost (- 23/24),40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BJ1,,

BJ2,B-Junioren Bundesliga West (- 23/24),40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BJ2,,

BJ3,B-Junioren Bundesliga Süd/Südwest (- 23/24),40.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BJ3,,

BO1A,División Profesional,23.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BO1A,,

BO1C,División Profesional Clausura,23.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BO1C,,

BOS1,Premijer Liga Bosne i Hercegovine,24.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BOS1,,

BOS2,Prva liga FBiH,24.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BOS2,,

BR94,Vysheyshaya Liga 1994/95,18.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BR94,,

BRA1,Campeonato Brasileiro Série A,26.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRA1,,

BRA2,Campeonato Brasileiro Série B,26.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRA2,,

BRA3,Campeonato Brasileiro Série C,26.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRA3,,

BRBL,Brandenburgliga,40.0,6,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRBL,,

BRCB,Campeonato Baiano,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRCB,,

BRCE,Campeonato Cearense,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRCE,,

BRCG,Campeonato Carioca,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRCG,,

BRCM,Campeonato Mineiro,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRCM,,

BRCR,Campeonato Carioca - Taça Rio,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRCR,,

BRDF,Campeonato Brasiliense,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRDF,,

BRES,Campeonato Capixaba,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRES,,

BRGO,Campeonato Goiano,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRGO,,

BRNE,Copa do Nordeste,26.0,Cup,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRNE,,

BRPB,Campeonato Paraibano,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRPB,,

BRPE,Campeonato Pernambucano,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRPE,,

BRQR,Campeonato Gaúcho - Abstiegsrunde,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRQR,,

BRRN,Campeonato Potiguar,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRRN,,

BRRS,Campeonato Gaúcho,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRRS,,

BRSC,Campeonato Catarinense,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRSC,,

BRga,Campeonato Gaúcho - 2º Turno,26.0,StateChampionship,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BRga,,

BU1,efbet Liga,28.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BU1,,

BU2,Vtora Liga,28.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/BU2,,

C1,Super League,148.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C1,,

C191,Swiss U19 Elite League,148.0,Youth,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C191,,

C2,Challenge League,148.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2,,

C2I1,2. Liga interregional - Gruppe 1 (bis 11/12),148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2I1,,

C2I2,2. Liga interregional - Gruppe 2 (bis 11/12),148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2I2,,

C2I3,2. Liga interregional - Gruppe 3 (bis 11/12),148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2I3,,

C2I4,2. Liga interregional - Gruppe 4 (bis 11/12),148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2I4,,

C2I5,2. Liga interregional - Gruppe 5 (bis 11/12),148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2I5,,

C2I6,2. Liga interregional - Gruppe 6 (bis 11/12),148.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C2I6,,

C3AR,Championnat National 3 - Groupe K,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3AR,,

C3BF,Championnat National 3 - Groupe J,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3BF,,

C3BR,Championnat National 3 - Groupe E,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3BR,,

C3CM,Championnat National 3 - Groupe A,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3CM,,

C3GE,Championnat National 3 - Groupe I,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3GE,,

C3HF,Championnat National 3 - Groupe G,50.0,5,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/C3HF,,

