"group_key";"competition_id";"league_name";"league_name_norm";"historical_flag";"country_id";"tier";"source_url"; "canonical_competition_id"
"125.0|4";"NO42";"Norsk Tipping-Ligaen avdeling 2";"norsk tipping ligaen avdeling 2";"False";"125";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO42"
"125.0|4";"NO43";"Norsk Tipping-Ligaen avdeling 3";"norsk tipping ligaen avdeling 3";"False";"125";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO43"
"125.0|4";"NO44";"Norsk Tipping-Ligaen avdeling 4";"norsk tipping ligaen avdeling 4";"False";"125";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO44"
"125.0|4";"NO45";"Norsk Tipping-Ligaen avdeling 5";"norsk tipping ligaen avdeling 5";"False";"125";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO45"
"125.0|4";"NO46";"Norsk Tipping-Ligaen avdeling 6";"norsk tipping ligaen avdeling 6";"False";"125";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO46"

"127.0|3";"ELVA";"Eliteliga Vorarlberg (- 2023)";"eliteliga vorarlberg";"True";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ELVA"
"127.0|3";"EVAA";"Eliteliga Vorarlberg Abstiegsrunde (- 2023)";"eliteliga vorarlberg abstiegsrunde";"True";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/EVAA"
"127.0|3";"ATRM";"Regionalliga Mitte";"regionalliga mitte";"False";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ATRM"
"127.0|3";"ATRO";"Regionalliga Ost";"regionalliga ost";"False";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ATRO"
"127.0|3";"ELSA";"Regionalliga Salzburg (- 2023)";"regionalliga salzburg";"True";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ELSA"
"127.0|3";"RLSA";"Regionalliga Salzburg Abstiegsrunde (- 2023)";"regionalliga salzburg abstiegsrunde";"True";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/RLSA"
"127.0|3";"ELTI";"Regionalliga Tirol (- 2023)";"regionalliga tirol";"True";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ELTI"
"127.0|3";"ELTA";"Regionalliga Tirol Abstiegsrunde (- 2023)";"regionalliga tirol abstiegsrunde";"True";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ELTA"
"127.0|3";"ATRW";"Regionalliga West";"regionalliga west";"False";"127";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/ATRW"

"127.0|4";"A4N";"1. Landesliga Niederösterreich";"1 landesliga nieder sterreich";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4N"
"127.0|4";"A4B";"Burgenlandliga";"burgenlandliga";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4B"
"127.0|4";"A4V";"Eliteliga Vorarlberg";"eliteliga vorarlberg";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4V"
"127.0|4";"A4K";"Kärntner Liga";"k rntner liga";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4K"
"127.0|4";"A4ST";"Landesliga Steiermark";"landesliga steiermark";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4ST"
"127.0|4";"A4O";"Oberösterreich Liga";"ober sterreich liga";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4O"
"127.0|4";"A4T";"Regionalliga Tirol";"regionalliga tirol";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4T"
"127.0|4";"A4S";"Salzburger Liga";"salzburger liga";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4S"
"127.0|4";"A4W";"Wiener Stadtliga";"wiener stadtliga";"False";"127";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/A4W"

"127.0|Youth";"JGD3";"ÖFB Jugendliga U16";"fb jugendliga u16";"False";"127";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/JGD3"
"127.0|Youth";"AJ17";"ÖFB Jugendliga U17 (- 2010)";"fb jugendliga u17";"True";"127";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/AJ17"
"127.0|Youth";"JGD2";"ÖFB Jugendliga U18";"fb jugendliga u18";"False";"127";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/JGD2"
"127.0|Youth";"JGD";"ÖFB Jugendliga U19 (- 2010)";"fb jugendliga u19";"True";"127";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/JGD"

"130.0|1";"PN1A";"Liga Panameña de Fútbol Apertura";"liga paname a de f tbol apertura";"True";"130";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PN1A"
"130.0|1";"PN1C";"Liga Panameña de Fútbol Clausura";"liga paname a de f tbol clausura";"True";"130";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PN1C"


"133.0|1";"PERC";"Torneo Descentralizado (2007 - 2013)";"torneo descentralizado";"True";"133";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PERC";"TDeA"
"133.0|1";"PERS";"Torneo Descentralizado Segunda Fase";"torneo descentralizado segunda fase";"False";"133";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/PERS";"TDeA"
"133.0|1";"TDeA";"Liga 1 Apertura";"liga 1 apertura";"True";"133";"1";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/TDeA"
