league_id,league_name,country_id,tier,prior_league_names
AUS1,A-League Men,12,1,
BH2S,Prva Liga RS,24,2,
CNAT,National League,189,5,
HGKG,Hongkong Premier League,218,1,
IN1L,Super League,68,1,
JGD,ÖFB Jugendliga U19 (- 2010),127,Youth,
LNR3,Landesliga Niederrhein - Gruppe 3 (- 2023),40,6,
OBLK,Bremenliga,40,5,
SB19,Omladinska liga Srbije,215,Youth,
SLI,Sachsenliga,40,6,
TDeC,Liga 1 Clausura,133,1,
THLI,Thüringenliga,40,6,
TS2,Chance Narodni Liga,172,2,
URPL,Liguilla Pre-Libertadores,179,Cup,
VZ1A,Liga FUTVE Apertura,182,1,
BCP1,Campeonato Paulista,26,Cup,
BRBL,Brandenburgliga,40,6,
EC2L,Liga Pro Serie B,44,2,
IS2,Lengjudeild,73,2,
ITJ0,Campionato Primavera Girone D,75,Youth,
ITJ1,Campionato Primavera Girone A,75,Youth,
ITJ2,Campionato Primavera Girone B,75,Youth,
ITJ3,Campionato Primavera Girone C,75,Youth,
KR2,Prva Nogometna Liga,37,2,
MNE1,Meridianbet 1. CFL,216,1,
MNE2,2. CFL,216,2,
NLAE,U19 Divisie 2 Frühling,122,Youth,
NZL1,New Zealand Premiership (- 2021),120,1,
RHL,Rheinlandliga,40,6,
SE2,Superettan,147,2,
TDeA,Torneo Descentralizado (2007 - 2013),133,1,Liga 1 Liguilla A; Liga 1 Liguilla B; Torneo Descentralizado (2007 - 2013); Torneo Descentralizado Segunda Fase
URUC,Liga AUF Clausura,179,1,
UZ1,O'zbekiston Superligasi,180,1,
VLHS,Verbandsliga Hessen-Süd,40,6,
" """"MT1P""""",Premier League (-2024),106,1,
ALB1,Kategoria Superiore,3,1,
BJ1,B-Junioren Bundesliga Nord/Nordost (- 23/24),40,Youth,
BJ2,B-Junioren Bundesliga West (- 23/24),40,Youth,
BJ3,B-Junioren Bundesliga Süd/Südwest (- 23/24),40,Youth,
BRA2,Campeonato Brasileiro Série B,26,2,
BRRS,Campeonato Gaúcho,26,StateChampionship,
FARO,Betri-deildin,208,1,
HO1A,Liga Nacional Apertura,66,1,
INIL,I-League,67,2,
PER2,Liga 2,133,2,
SB17,Kadetska liga Srbije,215,Youth,
SER2,Prva liga Srbije,215,2,
AZ1,Premyer Liqa,13,1,
BOS2,Prva liga FBiH,24,2,
BRCB,Campeonato Baiano,26,StateChampionship,
BRCR,Campeonato Carioca - Taça Rio,26,StateChampionship,
BRga,Campeonato Gaúcho - 2º Turno,26,StateChampionship,
COL1,Liga Dimayor Finalización,83,1,
DKDL,U19 Drenge Ligaen,39,Youth,
HK2L,Hong Kong First Division,218,2,
K3L,Korea National League - Second Stage (2003-2010),87,3,Korea National League (2011-2019); Korea National League - Second Stage (2003-2010)
OBLA,Bayernliga (- 11/12),40,5,
OBLB,Oberliga Baden-Württemberg,40,5,
OBLC,Hessenliga,40,5,
OBLD,Oberliga Südwest (08/09 - 11/12),40,5,
OBLE,NRW-Liga (- 11/12),40,5,
OBLF,NOFV-Oberliga Nord,40,5,
OBLG,NOFV-Oberliga Süd,40,5,
SL2,Druga Liga,155,2,
VIE1,V.League 1,185,1,
