league,league_name,country,standing_mv,throughput,up_cross_out,below_cross_in,bridge_score
A1,Bundesliga,Austria,350000.0,4336.0,0.20345140781108084,0.17216294859359846,0.18715446632200458
SA1,Saudi Pro League,Saudi Arabia,250000.0,2944.0,0.351865398683248,0.08825396825396825,0.17622008320580618
TR1,Süper Lig,Turkey,650000.0,12389.0,0.08732624693376942,0.34745085504235257,0.17418834394062596
RSK1,K League 1,South Korea,500000.0,1187.0,0.07279029462738301,0.4131534569983137,0.17341730554137055
RU1,Premier Liga,Russia,700000.0,6467.0,0.07689922480620155,0.387256418187442,0.1725680108242559
ARGC,Torneo Clausura,Argentina,600000.0,4553.0,0.17024726388325903,0.16959921798631475,0.16992293199833416
TS1,Chance Liga,Czech Rep.,250000.0,6094.0,0.25873015873015875,0.11122483793926988,0.169638497914723
BRA1,Campeonato Brasileiro Série A,Brazil,500000.0,14222.0,0.1370851370851371,0.18095819346963687,0.1575013611320992
MLS1,Major League Soccer,USA,300000.0,6493.0,0.22518844221105527,0.10920245398773006,0.15681559392841443
IT1,Serie A,Italy,800000.0,23295.0,0.09505866232765266,0.23809934460158674,0.15044402679707042
URUC,Liga AUF Clausura,Uruguay,300000.0,3126.0,0.21228384019081695,0.0945273631840796,0.14165673884368674
CHL1,Torneo Clausura (-2017),Chile,450000.0,1074.0,0.19168173598553345,0.09215686274509804,0.1329089441458359
QSL,Qatar Stars League,Qatar,150000.0,1485.0,0.39633286318758815,0.036410923276983094,0.12012845405510848
COL1,Liga Dimayor Finalización,Colombia,500000.0,2205.0,0.0868421052631579,0.13904761904761906,0.10988716016862395
WER1,Vysheyshaya Liga,Belarus,200000.0,1355.0,0.15657311669128507,0.07533234859675036,0.10860488298169452
PR1C,Primera División Clausura,Paraguay,250000.0,1286.0,0.1309148264984227,0.08320493066255778,0.10436838152190558
AR1N,Liga Profesional de Fútbol (- 23/24),Argentina,450000.0,5812.0,0.11980136561142148,0.08928571428571429,0.10342412920116743
SC1,Scottish Premiership,Scotland,275000.0,6996.0,0.1424573187797369,0.06375442739079103,0.09530102195899846
CLPD,Liga de Primera,Chile,400000.0,1321.0,0.0706605222734255,0.07218045112781955,0.07141644330700875
MEXA,Liga MX Apertura,Mexico,800000.0,6406.0,0.03250236667718523,0.13270440251572327,0.06567501161204937
CSL,Chinese Super League,China,100000.0,3670.0,0.3440088348978465,0.008174386920980926,0.05302887251951377
GB1,Premier League,England,2500000.0,14190.0,0.0,0.4631164816636223,0.0
